,id,title,runtime,budget,revenue,vote_average,vote_count,popularity
0,862,Toy Story,81.0,30000000,373554033,7.7,5415,21.946943
1,8844,Jumanji,104.0,65000000,262797249,6.9,2413,17.015539
2,15602,Grumpier Old Men,101.0,0,0,6.5,92,11.7129
3,31357,Waiting to Exhale,127.0,16000000,81452156,6.1,34,3.859495
4,11862,Father of the Bride Part II,106.0,0,76578911,5.7,173,8.387519
5,949,Heat,170.0,60000000,187436818,7.7,1886,17.924927
6,11860,Sabrina,127.0,58000000,0,6.2,141,6.677277
7,45325,Tom and Huck,97.0,0,0,5.4,45,2.561161
8,9091,Sudden Death,106.0,35000000,64350171,5.5,174,5.23158
9,710,GoldenEye,130.0,58000000,352194034,6.6,1194,14.686036
10,9087,The American President,106.0,62000000,107879496,6.5,199,6.318445
11,12110,Dracula: Dead and Loving It,88.0,0,0,5.7,210,5.430331
12,21032,Balto,78.0,0,11348324,7.1,423,12.140733
13,10858,Nixon,192.0,44000000,13681765,7.1,72,5.092
14,1408,Cutthroat Island,119.0,98000000,10017322,5.7,137,7.284477
15,524,Casino,178.0,52000000,116112375,7.8,1343,10.137389
16,4584,Sense and Sensibility,136.0,16500000,135000000,7.2,364,10.673167
17,5,Four Rooms,98.0,4000000,4300000,6.5,539,9.026586
18,9273,Ace Ventura: When Nature Calls,90.0,30000000,212385533,6.1,1128,8.205448
19,11517,Money Train,103.0,60000000,35431113,5.4,224,7.337906
20,8012,Get Shorty,105.0,30250000,115101622,6.4,305,12.669608
21,1710,Copycat,124.0,0,0,6.5,199,10.701801
22,9691,Assassins,132.0,50000000,30303072,6.0,394,11.065939
23,12665,Powder,111.0,0,0,6.3,143,12.133094
24,451,Leaving Las Vegas,112.0,3600000,49800000,7.1,365,10.332025
25,16420,Othello,123.0,0,0,7.0,33,1.845899
26,9263,Now and Then,100.0,12000000,27400000,6.6,91,8.681325
27,17015,Persuasion,104.0,0,0,7.4,36,2.228434
28,902,The City of Lost Children,108.0,18000000,1738611,7.6,308,9.822423
29,37557,Shanghai Triad,108.0,0,0,6.5,17,1.100915
30,9909,Dangerous Minds,99.0,0,180000000,6.4,249,9.481338
31,63,Twelve Monkeys,129.0,29500000,168840000,7.4,2470,12.297305
32,78802,Wings of Courage,50.0,0,0,6.8,4,0.745542
33,9598,Babe,89.0,30000000,254134910,6.0,756,14.404764
34,47018,Carrington,121.0,0,0,6.4,16,1.493361
35,687,Dead Man Walking,122.0,11000000,39363635,7.3,350,6.891317
36,139405,Across the Sea of Time,51.0,0,0,3.5,2,0.114469
37,33689,It Takes Two,101.0,0,0,6.1,149,7.777735
38,9603,Clueless,97.0,12000000,0,6.9,828,9.882383
39,34615,"Cry, the Beloved Country",106.0,0,676525,6.7,13,0.894647
40,31174,Richard III,104.0,0,0,6.9,50,4.561387
