,id,title,english_lang,foreign_lang,US_film,foreign_film,international
0,862,Toy Story,1,0,1,0,0
1,8844,Jumanji,1,0,1,0,0
2,15602,Grumpier Old Men,1,0,1,0,0
3,31357,Waiting to Exhale,1,0,1,0,0
4,11862,Father of the Bride Part II,1,0,1,0,0
5,949,Heat,1,0,1,0,0
6,11860,Sabrina,1,0,0,0,1
7,45325,Tom and Huck,1,0,1,0,0
8,9091,Sudden Death,1,0,1,0,0
9,710,GoldenEye,1,0,0,0,1
10,9087,The American President,1,0,1,0,0
11,12110,Dracula: Dead and Loving It,1,0,0,0,1
12,21032,Balto,1,0,1,0,0
13,10858,Nixon,1,0,1,0,0
14,1408,Cutthroat Island,1,0,0,0,1
15,524,Casino,1,0,0,0,1
16,4584,Sense and Sensibility,1,0,0,0,1
17,5,Four Rooms,1,0,1,0,0
18,9273,Ace Ventura: When Nature Calls,1,0,1,0,0
19,11517,Money Train,1,0,1,0,0
20,8012,Get Shorty,1,0,1,0,0
21,1710,Copycat,1,0,1,0,0
22,9691,Assassins,1,0,0,0,1
23,12665,Powder,1,0,1,0,0
24,451,Leaving Las Vegas,1,0,1,0,0
25,16420,Othello,1,0,0,1,0
26,9263,Now and Then,1,0,1,0,0
27,17015,Persuasion,1,0,0,0,1
28,902,The City of Lost Children,0,1,0,0,1
29,37557,Shanghai Triad,0,1,0,0,1
30,9909,Dangerous Minds,1,0,1,0,0
31,63,Twelve Monkeys,1,0,1,0,0
32,78802,Wings of Courage,0,1,0,0,1
33,9598,Babe,1,0,0,0,1
34,47018,Carrington,1,0,0,0,1
35,687,Dead Man Walking,1,0,1,0,1
36,139405,Across the Sea of Time,1,0,1,0,0
37,33689,It Takes Two,1,0,1,0,0
38,9603,Clueless,1,0,1,0,0
39,34615,"Cry, the Beloved Country",1,0,0,1,0
40,31174,Richard III,1,0,0,0,1
41,11443,Dead Presidents,1,0,1,0,0
42,35196,Restoration,1,0,1,0,0
43,9312,Mortal Kombat,1,0,1,0,0
44,577,To Die For,1,0,1,0,0
45,11861,How To Make An American Quilt,1,0,1,0,0
46,807,Se7en,1,0,1,0,0
47,10530,Pocahontas,1,0,1,0,0
48,8391,When Night Is Falling,1,0,0,1,0
49,629,The Usual Suspects,1,0,1,0,0
50,117164,Guardian Angel,1,0,0,0,0
51,11448,Mighty Aphrodite,1,0,1,0,0
52,49133,Lamerica,0,1,0,0,1
53,26441,The Big Green,1,0,1,0,0
54,97406,Georgia,1,0,0,0,1
55,124057,Kids of the Round Table,1,0,0,0,0
56,9089,Home for the Holidays,1,0,1,0,0
57,11010,The Postman,0,1,0,0,1
58,99040,The Confessional,0,1,0,1,0
59,11359,The Indian in the Cupboard,1,0,1,0,0
60,17182,Eye for an Eye,1,0,1,0,0
61,2054,Mr. Holland's Opus,1,0,1,0,0
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1,0,1,0,0
63,19760,Two If by Sea,1,0,1,0,0
64,9536,Bio-Dome,1,0,1,0,0
65,11525,Lawnmower Man 2: Beyond Cyberspace,1,0,1,0,0
66,40628,Two Bits,1,0,1,0,0
67,4482,French Twist,0,1,0,1,0
68,10634,Friday,1,0,1,0,0
69,755,From Dusk Till Dawn,1,0,1,0,0
70,11859,Fair Game,1,0,1,0,0
71,28387,Kicking and Screaming,1,0,1,0,0
72,48750,Les Miserables,0,1,0,1,0
73,20927,Bed of Roses,1,0,1,0,0
74,36929,Big Bully,1,0,1,0,0
75,9102,Screamers,1,0,0,0,1
76,124626,Nico Icon,1,0,0,0,1
77,27526,The Crossing Guard,1,0,1,0,0
78,9623,The Juror,1,0,1,0,0
79,46785,The White Balloon,0,1,0,1,0
80,400,Things to Do in Denver When You're Dead,1,0,1,0,0
81,880,Antonia's Line,0,1,0,0,1
82,146599,Once Upon a Time... When We Were Colored,1,0,1,0,0
83,188588,Last Summer in the Hamptons,1,0,0,0,0
84,8447,Angels and Insects,1,0,0,0,1
85,10534,White Squall,1,0,1,0,0
86,17414,Dunston Checks In,1,0,1,0,0
87,13997,Black Sheep,1,0,1,0,0
88,2086,Nick of Time,1,0,1,0,0
89,61548,The Journey of August King,1,0,1,0,0
90,9095,Mary Reilly,1,0,1,0,0
91,12158,Vampire in Brooklyn,1,0,1,0,0
92,9283,Beautiful Girls,1,0,1,0,0
93,9208,Broken Arrow,1,0,1,0,0
94,40154,A Midwinter's Tale,1,0,0,1,0
95,406,La Haine,0,1,0,1,0
96,45549,Shopping,1,0,0,1,0
97,63076,Heidi Fleiss: Hollywood Madam,1,0,0,0,1
98,11062,City Hall,1,0,1,0,0
99,13685,Bottle Rocket,1,0,1,0,0
100,47475,Mr. Wrong,1,0,1,0,0
101,2045,Unforgettable,1,0,1,0,0
102,9614,Happy Gilmore,1,0,1,0,0
103,688,The Bridges of Madison County,1,0,1,0,0
104,11907,Nobody Loves Me,0,1,0,1,0
105,10874,Muppet Treasure Island,1,0,1,0,0
106,89333,Catwalk,1,0,0,0,0
107,96357,Headless Body in Topless Bar,1,0,0,0,0
108,197,Braveheart,1,0,1,0,0
109,103,Taxi Driver,1,0,1,0,0
110,33542,Rumble in the Bronx,0,1,0,1,0
111,43566,Before and After,1,0,1,0,0
112,71754,Margaret's Museum,1,0,0,0,1
113,43612,Happiness Is in the Field,1,0,0,1,0
114,51352,Anne Frank Remembered,1,0,0,0,1
115,16934,The Young Poisoner's Handbook,1,0,0,0,1
116,10324,If Lucy Fell,1,0,1,0,0
