,id,title,Paramount Pictures,MGM,20th Century Fox,Warner Bros.,Universal Pictures,Columbia Pictures,Disney,Pixar,New Line Cinema,United Artists,Canal+,RKO Radio Pictures,Touchstone Pictures,BBC Films
0,862,Toy Story,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,8844,Jumanji,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15602,Grumpier Old Men,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,31357,Waiting to Exhale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,11862,Father of the Bride Part II,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,949,Heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11860,Sabrina,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45325,Tom and Huck,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,9091,Sudden Death,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,710,GoldenEye,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,9087,The American President,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,12110,Dracula: Dead and Loving It,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,21032,Balto,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,10858,Nixon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1408,Cutthroat Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,524,Casino,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,4584,Sense and Sensibility,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,5,Four Rooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9273,Ace Ventura: When Nature Calls,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,11517,Money Train,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,8012,Get Shorty,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,1710,Copycat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9691,Assassins,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,12665,Powder,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,451,Leaving Las Vegas,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,16420,Othello,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,9263,Now and Then,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,17015,Persuasion,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,902,The City of Lost Children,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,37557,Shanghai Triad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9909,Dangerous Minds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,63,Twelve Monkeys,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,78802,Wings of Courage,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9598,Babe,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,47018,Carrington,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,687,Dead Man Walking,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,139405,Across the Sea of Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,33689,It Takes Two,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,9603,Clueless,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,34615,"Cry, the Beloved Country",0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,31174,Richard III,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11443,Dead Presidents,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,35196,Restoration,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,9312,Mortal Kombat,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,577,To Die For,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,11861,How To Make An American Quilt,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,807,Se7en,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,10530,Pocahontas,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,8391,When Night Is Falling,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,629,The Usual Suspects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,117164,Guardian Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11448,Mighty Aphrodite,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,49133,Lamerica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,26441,The Big Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,97406,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,124057,Kids of the Round Table,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,9089,Home for the Holidays,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,11010,The Postman,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,99040,The Confessional,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,11359,The Indian in the Cupboard,1,0,0,0,0,1,0,0,0,0,0,0,0,0
60,17182,Eye for an Eye,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2054,Mr. Holland's Opus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,19760,Two If by Sea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,9536,Bio-Dome,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,11525,Lawnmower Man 2: Beyond Cyberspace,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,40628,Two Bits,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4482,French Twist,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,10634,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,755,From Dusk Till Dawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,11859,Fair Game,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,28387,Kicking and Screaming,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,48750,Les Miserables,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,20927,Bed of Roses,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,36929,Big Bully,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,9102,Screamers,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,124626,Nico Icon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,27526,The Crossing Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,9623,The Juror,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,46785,The White Balloon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,400,Things to Do in Denver When You're Dead,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,880,Antonia's Line,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,146599,Once Upon a Time... When We Were Colored,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,188588,Last Summer in the Hamptons,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8447,Angels and Insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,10534,White Squall,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,17414,Dunston Checks In,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,13997,Black Sheep,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2086,Nick of Time,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,61548,The Journey of August King,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,9095,Mary Reilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,12158,Vampire in Brooklyn,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,9283,Beautiful Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,9208,Broken Arrow,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,40154,A Midwinter's Tale,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,406,La Haine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,45549,Shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,63076,Heidi Fleiss: Hollywood Madam,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,11062,City Hall,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,13685,Bottle Rocket,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,47475,Mr. Wrong,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,2045,Unforgettable,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,9614,Happy Gilmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0
103,688,The Bridges of Madison County,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,11907,Nobody Loves Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,10874,Muppet Treasure Island,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106,89333,Catwalk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,96357,Headless Body in Topless Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,197,Braveheart,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,103,Taxi Driver,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,33542,Rumble in the Bronx,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,43566,Before and After,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,71754,Margaret's Museum,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,43612,Happiness Is in the Field,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,51352,Anne Frank Remembered,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16934,The Young Poisoner's Handbook,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,10324,If Lucy Fell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,78406,Steal Big Steal Little,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,55731,Race the Sun,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,32119,The Boys of St. Vincent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,11066,Boomerang,1,0,0,0,0,0,0,0,0,0,0,0,0,0
121,11104,Chungking Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,37975,The Star Maker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2074,Flirting with Disaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,27793,The Neverending Story III: Escape from Fantasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,44284,The Silences of the Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,290157,Jupiter's Wife,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,110972,Pie in the Sky,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,32622,Angela,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,73067,Frankie Starlight,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,11863,Jade,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,55475,Nueba Yol,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,124636,Sonic Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,9101,Down Periscope,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,123360,From the Journals of Jean Seberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,5757,Man of the Year,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,39428,The Neon Bible,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,124639,Target,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,9302,Up Close & Personal,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,11000,The Birdcage,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,249882,Virgin Mary,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,16388,The Brothers McMullen,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,9737,Bad Boys,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143,30765,The Amazing Panda Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,10474,The Basketball Diaries,0,0,0,0,0,0,0,0,1,0,0,0,0,0
145,22279,An Awfully Big Adventure,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,30157,Amateur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,568,Apollo 13,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,11780,Rob Roy,0,0,0,0,0,0,0,0,0,1,0,0,0,0
149,34996,The Addiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,414,Batman Forever,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,649,Belle de Jour,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1873,Beyond Rangoon,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,5894,Blue in the Face,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,1775,Canadian Bacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,8839,Casper,0,0,0,0,1,0,0,0,0,0,0,0,0,0
156,20649,Clockers,0,0,0,0,1,0,0,0,0,0,0,0,0,0
157,10329,Congo,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,8963,Crimson Tide,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,26564,Crumb,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,8068,Desperado,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,8512,Devil in a Blue Dress,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,1572,Die Hard: With a Vengeance,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,13552,The Doom Generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,259209,Feast of July,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,6520,First Knight,0,0,0,0,0,1,0,0,0,0,0,0,0,0
166,9073,Free Willy 2 - The Adventure Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,10428,Hackers,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,17447,Jeffrey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,9886,Johnny Mnemonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,9482,Judge Dredd,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,19326,Jury Duty,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,9344,Kids,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,9071,Living in Oblivion,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,8973,Lord of Illusions,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,15730,Love & Human Remains,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,47608,Mad Love,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,2293,Mallrats,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,9070,Mighty Morphin Power Rangers: The Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,68274,Moonlight and Valentino,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,48787,Mute Witness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,34574,Nadja,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,1642,The Net,0,0,0,0,0,1,0,0,0,0,0,0,0,0
183,11472,Nine Months,0,0,1,0,0,0,0,0,0,0,0,0,0,0
184,36196,Party Girl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,11980,The Prophecy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,58372,Reckless,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,32646,Safe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,10533,The Scarlet Letter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,10802,Showgirls,0,0,0,0,0,0,0,0,0,1,0,0,0,0
190,10149,Smoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,18402,Something to Talk About,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,9348,Species,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193,139408,The Stars Fell on Henrietta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,281,Strange Days,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,5967,The Umbrellas of Cherbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,79593,The Tie That Binds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,47939,Three Wishes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,36834,Total Eclipse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,3512,Under Siege 2: Dark Territory,0,0,0,1,0,0,0,0,0,0,0,0,0,0
201,52856,Unstrung Heroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,77350,Unzipped,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,9560,A Walk in the Clouds,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,9804,Waterworld,0,0,0,0,1,0,0,0,0,0,0,0,0,0
205,31611,White Man's Burden,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,65796,Wild Bill,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,49805,The Browning Version,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,26258,Bushwhacked,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,50797,Burnt by the Sun,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210,19155,Before the Rain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,76,Before Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,11017,Billy Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0
