,id,release year,1930s,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,Pre_1930
0,862,1995,0,0,0,0,0,0,1,0,0,0
1,8844,1995,0,0,0,0,0,0,1,0,0,0
2,15602,1995,0,0,0,0,0,0,1,0,0,0
3,31357,1995,0,0,0,0,0,0,1,0,0,0
4,11862,1995,0,0,0,0,0,0,1,0,0,0
5,949,1995,0,0,0,0,0,0,1,0,0,0
6,11860,1995,0,0,0,0,0,0,1,0,0,0
7,45325,1995,0,0,0,0,0,0,1,0,0,0
8,9091,1995,0,0,0,0,0,0,1,0,0,0
9,710,1995,0,0,0,0,0,0,1,0,0,0
10,9087,1995,0,0,0,0,0,0,1,0,0,0
11,12110,1995,0,0,0,0,0,0,1,0,0,0
12,21032,1995,0,0,0,0,0,0,1,0,0,0
13,10858,1995,0,0,0,0,0,0,1,0,0,0
14,1408,1995,0,0,0,0,0,0,1,0,0,0
15,524,1995,0,0,0,0,0,0,1,0,0,0
16,4584,1995,0,0,0,0,0,0,1,0,0,0
17,5,1995,0,0,0,0,0,0,1,0,0,0
18,9273,1995,0,0,0,0,0,0,1,0,0,0
19,11517,1995,0,0,0,0,0,0,1,0,0,0
20,8012,1995,0,0,0,0,0,0,1,0,0,0
21,1710,1995,0,0,0,0,0,0,1,0,0,0
22,9691,1995,0,0,0,0,0,0,1,0,0,0
23,12665,1995,0,0,0,0,0,0,1,0,0,0
24,451,1995,0,0,0,0,0,0,1,0,0,0
25,16420,1995,0,0,0,0,0,0,1,0,0,0
26,9263,1995,0,0,0,0,0,0,1,0,0,0
27,17015,1995,0,0,0,0,0,0,1,0,0,0
28,902,1995,0,0,0,0,0,0,1,0,0,0
29,37557,1995,0,0,0,0,0,0,1,0,0,0
30,9909,1995,0,0,0,0,0,0,1,0,0,0
31,63,1995,0,0,0,0,0,0,1,0,0,0
32,78802,1996,0,0,0,0,0,0,1,0,0,0
33,9598,1995,0,0,0,0,0,0,1,0,0,0
34,47018,1995,0,0,0,0,0,0,1,0,0,0
35,687,1995,0,0,0,0,0,0,1,0,0,0
36,139405,1995,0,0,0,0,0,0,1,0,0,0
37,33689,1995,0,0,0,0,0,0,1,0,0,0
38,9603,1995,0,0,0,0,0,0,1,0,0,0
39,34615,1995,0,0,0,0,0,0,1,0,0,0
40,31174,1995,0,0,0,0,0,0,1,0,0,0
41,11443,1995,0,0,0,0,0,0,1,0,0,0
42,35196,1995,0,0,0,0,0,0,1,0,0,0
43,9312,1995,0,0,0,0,0,0,1,0,0,0
44,577,1995,0,0,0,0,0,0,1,0,0,0
45,11861,1995,0,0,0,0,0,0,1,0,0,0
46,807,1995,0,0,0,0,0,0,1,0,0,0
47,10530,1995,0,0,0,0,0,0,1,0,0,0
48,8391,1995,0,0,0,0,0,0,1,0,0,0
49,629,1995,0,0,0,0,0,0,1,0,0,0
50,117164,1994,0,0,0,0,0,0,1,0,0,0
51,11448,1995,0,0,0,0,0,0,1,0,0,0
52,49133,1994,0,0,0,0,0,0,1,0,0,0
53,26441,1995,0,0,0,0,0,0,1,0,0,0
54,97406,1995,0,0,0,0,0,0,1,0,0,0
55,124057,1997,0,0,0,0,0,0,1,0,0,0
56,9089,1995,0,0,0,0,0,0,1,0,0,0
57,11010,1994,0,0,0,0,0,0,1,0,0,0
58,99040,1995,0,0,0,0,0,0,1,0,0,0
59,11359,1995,0,0,0,0,0,0,1,0,0,0
60,17182,1996,0,0,0,0,0,0,1,0,0,0
61,2054,1995,0,0,0,0,0,0,1,0,0,0
62,10607,1996,0,0,0,0,0,0,1,0,0,0
63,19760,1996,0,0,0,0,0,0,1,0,0,0
64,9536,1996,0,0,0,0,0,0,1,0,0,0
65,11525,1996,0,0,0,0,0,0,1,0,0,0
66,40628,1995,0,0,0,0,0,0,1,0,0,0
67,4482,1995,0,0,0,0,0,0,1,0,0,0
68,10634,1995,0,0,0,0,0,0,1,0,0,0
69,755,1996,0,0,0,0,0,0,1,0,0,0
70,11859,1995,0,0,0,0,0,0,1,0,0,0
71,28387,1995,0,0,0,0,0,0,1,0,0,0
72,48750,1995,0,0,0,0,0,0,1,0,0,0
73,20927,1996,0,0,0,0,0,0,1,0,0,0
74,36929,1996,0,0,0,0,0,0,1,0,0,0
75,9102,1995,0,0,0,0,0,0,1,0,0,0
76,124626,1995,0,0,0,0,0,0,1,0,0,0
77,27526,1995,0,0,0,0,0,0,1,0,0,0
78,9623,1996,0,0,0,0,0,0,1,0,0,0
79,46785,1995,0,0,0,0,0,0,1,0,0,0
80,400,1995,0,0,0,0,0,0,1,0,0,0
81,880,1995,0,0,0,0,0,0,1,0,0,0
82,146599,1996,0,0,0,0,0,0,1,0,0,0
83,188588,1995,0,0,0,0,0,0,1,0,0,0
84,8447,1995,0,0,0,0,0,0,1,0,0,0
85,10534,1996,0,0,0,0,0,0,1,0,0,0
86,17414,1996,0,0,0,0,0,0,1,0,0,0
87,13997,1996,0,0,0,0,0,0,1,0,0,0
88,2086,1995,0,0,0,0,0,0,1,0,0,0
89,61548,1995,0,0,0,0,0,0,1,0,0,0
90,9095,1996,0,0,0,0,0,0,1,0,0,0
91,12158,1995,0,0,0,0,0,0,1,0,0,0
92,9283,1996,0,0,0,0,0,0,1,0,0,0
93,9208,1996,0,0,0,0,0,0,1,0,0,0
94,40154,1995,0,0,0,0,0,0,1,0,0,0
95,406,1995,0,0,0,0,0,0,1,0,0,0
96,45549,1994,0,0,0,0,0,0,1,0,0,0
97,63076,1995,0,0,0,0,0,0,1,0,0,0
98,11062,1996,0,0,0,0,0,0,1,0,0,0
99,13685,1996,0,0,0,0,0,0,1,0,0,0
100,47475,1996,0,0,0,0,0,0,1,0,0,0
101,2045,1996,0,0,0,0,0,0,1,0,0,0
102,9614,1996,0,0,0,0,0,0,1,0,0,0
103,688,1995,0,0,0,0,0,0,1,0,0,0
104,11907,1994,0,0,0,0,0,0,1,0,0,0
105,10874,1996,0,0,0,0,0,0,1,0,0,0
106,89333,1995,0,0,0,0,0,0,1,0,0,0
107,96357,1995,0,0,0,0,0,0,1,0,0,0
108,197,1995,0,0,0,0,0,0,1,0,0,0
109,103,1976,0,0,0,0,1,0,0,0,0,0
110,33542,1995,0,0,0,0,0,0,1,0,0,0
111,43566,1996,0,0,0,0,0,0,1,0,0,0
112,71754,1995,0,0,0,0,0,0,1,0,0,0
113,43612,1995,0,0,0,0,0,0,1,0,0,0
114,51352,1995,0,0,0,0,0,0,1,0,0,0
115,16934,1995,0,0,0,0,0,0,1,0,0,0
116,10324,1996,0,0,0,0,0,0,1,0,0,0
117,78406,1995,0,0,0,0,0,0,1,0,0,0
118,55731,1996,0,0,0,0,0,0,1,0,0,0
119,32119,1992,0,0,0,0,0,0,1,0,0,0
120,11066,1992,0,0,0,0,0,0,1,0,0,0
121,11104,1994,0,0,0,0,0,0,1,0,0,0
122,37975,1995,0,0,0,0,0,0,1,0,0,0
123,2074,1996,0,0,0,0,0,0,1,0,0,0
124,27793,1994,0,0,0,0,0,0,1,0,0,0
125,44284,1994,0,0,0,0,0,0,1,0,0,0
126,290157,1995,0,0,0,0,0,0,1,0,0,0
127,110972,1996,0,0,0,0,0,0,1,0,0,0
128,32622,1995,0,0,0,0,0,0,1,0,0,0
129,73067,1995,0,0,0,0,0,0,1,0,0,0
130,11863,1995,0,0,0,0,0,0,1,0,0,0
131,55475,1995,0,0,0,0,0,0,1,0,0,0
132,124636,1995,0,0,0,0,0,0,1,0,0,0
133,9101,1996,0,0,0,0,0,0,1,0,0,0
134,123360,1995,0,0,0,0,0,0,1,0,0,0
135,5757,1995,0,0,0,0,0,0,1,0,0,0
136,39428,1995,0,0,0,0,0,0,1,0,0,0
137,124639,1995,0,0,0,0,0,0,1,0,0,0
138,9302,1996,0,0,0,0,0,0,1,0,0,0
139,11000,1996,0,0,0,0,0,0,1,0,0,0
140,249882,1995,0,0,0,0,0,0,1,0,0,0
141,16388,1995,0,0,0,0,0,0,1,0,0,0
142,9737,1995,0,0,0,0,0,0,1,0,0,0
143,30765,1995,0,0,0,0,0,0,1,0,0,0
144,10474,1995,0,0,0,0,0,0,1,0,0,0
145,22279,1995,0,0,0,0,0,0,1,0,0,0
146,30157,1994,0,0,0,0,0,0,1,0,0,0
147,568,1995,0,0,0,0,0,0,1,0,0,0
148,11780,1995,0,0,0,0,0,0,1,0,0,0
149,34996,1995,0,0,0,0,0,0,1,0,0,0
150,414,1995,0,0,0,0,0,0,1,0,0,0
151,649,1967,0,0,0,1,0,0,0,0,0,0
152,1873,1995,0,0,0,0,0,0,1,0,0,0
153,5894,1995,0,0,0,0,0,0,1,0,0,0
154,1775,1995,0,0,0,0,0,0,1,0,0,0
155,8839,1995,0,0,0,0,0,0,1,0,0,0
156,20649,1995,0,0,0,0,0,0,1,0,0,0
